Array Length,Measured Time (seconds),O(n) Time,Scaled O(n) Time
10,2.0779995247721673e-06,1e-05,2.9412842699675824e-06
40,9.263999527320265e-06,4e-05,1.176513707987033e-05
70,1.8333998741582037e-05,7e-05,2.0588989889773073e-05
100,2.5300999404862522e-05,0.0001,2.9412842699675824e-05
400,0.00010301200207322836,0.0004,0.0001176513707987033
700,0.00019793300074525178,0.0007,0.00020588989889773075
1000,0.00024156299885362388,0.001,0.0002941284269967582
4000,0.0009765209991019219,0.004,0.0011765137079870328
7000,0.001651384000433609,0.007,0.0020588989889773076
10000,0.0023700160009320825,0.01,0.0029412842699675823
40000,0.009621314005926251,0.04,0.01176513707987033
70000,0.017026270005153492,0.07,0.020588989889773077
100000,0.024249494001269342,0.1,0.029412842699675826
400000,0.10201882499968633,0.4,0.1176513707987033
700000,0.1900734619947616,0.7,0.20588989889773074
1000000,0.29412842699675823,1.0,0.29412842699675823
